red_VRM,red_Timestamp,Location 1
4NJL268,03/31/2014 12:43:00 PM,"(37.7911, -122.248438)"
7CBC692,03/31/2014 12:43:00 PM,"(37.7911, -122.248438)"
67QCRR4,03/31/2014 12:43:00 PM,"(37.7911, -122.248438)"
4AQT154,03/31/2014 12:43:00 PM,"(37.7911, -122.248438)"
LNHAR1,03/31/2014 12:43:00 PM,"(37.7911, -122.248438)"
4WQM768,03/31/2014 12:43:00 PM,"(37.7911, -122.248438)"
6GCT230,03/31/2014 12:43:00 PM,"(37.791098, -122.24844)"
6ZPT328,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
AHIR104,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
6LOC735,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
LMBX157,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
6VCZ899,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
5MMV793,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
6YEB489,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
8S78661,03/31/2014 12:42:00 PM,"(37.791098, -122.24844)"
6DDR738,03/31/2014 12:42:00 PM,"(37.791096, -122.24844)"
6AH7719,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
4URR686,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
6JPD982,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
2RZP031,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
4CIJ830,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
1177524,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
5FNG686,03/31/2014 12:41:00 PM,"(37.791095, -122.24844)"
RH579,03/31/2014 12:40:00 PM,"(37.791095, -122.24844)"
5UWT660,03/31/2014 12:40:00 PM,"(37.791096, -122.24844)"
6WAC881,03/31/2014 12:40:00 PM,"(37.791096, -122.24844)"
5YOB750,03/31/2014 12:40:00 PM,"(37.791096, -122.24844)"
5WSA616,03/31/2014 12:40:00 PM,"(37.791096, -122.24844)"
6NUZ354,03/31/2014 12:40:00 PM,"(37.791096, -122.24844)"
5HWK137,03/31/2014 12:40:00 PM,"(37.791096, -122.248438)"
6FJW514,03/31/2014 12:40:00 PM,"(37.791096, -122.248438)"
5ERG516,03/31/2014 12:40:00 PM,"(37.791098, -122.248438)"
7AAD248,03/31/2014 12:39:00 PM,"(37.791098, -122.248438)"
6WUA746,03/31/2014 12:39:00 PM,"(37.791098, -122.248438)"
6SOM463,03/31/2014 12:39:00 PM,"(37.791098, -122.248438)"
15463A1,03/31/2014 12:39:00 PM,"(37.791098, -122.248438)"
7AZW933,03/31/2014 12:39:00 PM,"(37.791098, -122.248438)"
4IIE468,03/31/2014 12:39:00 PM,"(37.7911, -122.248436)"
5JSE641,03/31/2014 12:39:00 PM,"(37.7911, -122.248436)"
1153984,03/31/2014 12:39:00 PM,"(37.7911, -122.248436)"
6HZS702,03/31/2014 12:39:00 PM,"(37.791101, -122.248436)"
6ZVD645,03/31/2014 12:38:00 PM,"(37.791101, -122.248435)"
6WNS473,03/31/2014 12:38:00 PM,"(37.791105, -122.248435)"
8V83323,03/31/2014 12:38:00 PM,"(37.791105, -122.248435)"
6AJZ302,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
3RVZ541,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
5AYK262,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
8U40841,03/30/2014 02:30:00 AM,"(37.7929, -122.24293)"
4MSV167,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
5UFJ425,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
5DGD239,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
6V17786,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
6TOZ234,03/31/2014 12:37:00 PM,"(37.791105, -122.248433)"
4GEN285,03/31/2014 12:36:00 PM,"(37.791105, -122.248431)"
6WNS473,03/31/2014 12:36:00 PM,"(37.791105, -122.248431)"
6FLF619,03/31/2014 12:36:00 PM,"(37.791105, -122.248431)"
5SDA608,03/31/2014 12:36:00 PM,"(37.791105, -122.248431)"
6FKJ033,03/31/2014 12:36:00 PM,"(37.791105, -122.248433)"
7R61055,03/31/2014 12:36:00 PM,"(37.791105, -122.248433)"
5SOS076,03/31/2014 12:36:00 PM,"(37.791105, -122.248433)"
1426027,03/31/2014 12:36:00 PM,"(37.791105, -122.248433)"
5DBK822,03/31/2014 12:35:00 PM,"(37.791105, -122.248433)"
6UND308,03/31/2014 12:35:00 PM,"(37.791105, -122.248433)"
5BSK182,03/31/2014 12:35:00 PM,"(37.791105, -122.248433)"
6YFL583,03/31/2014 12:35:00 PM,"(37.791106, -122.248433)"
4KDS833,03/31/2014 12:35:00 PM,"(37.791106, -122.248433)"
6YMS852,03/31/2014 12:35:00 PM,"(37.791106, -122.248433)"
6LLF736,03/31/2014 12:35:00 PM,"(37.791106, -122.248433)"
1371851,03/31/2014 12:35:00 PM,"(37.791106, -122.248433)"
4YW153,03/31/2014 12:35:00 PM,"(37.791106, -122.248435)"
1069423,03/31/2014 12:34:00 PM,"(37.791105, -122.248435)"
6WEJ754,03/31/2014 12:34:00 PM,"(37.791105, -122.248435)"
7U34263,03/31/2014 12:34:00 PM,"(37.791106, -122.248435)"
6WNS473,03/31/2014 12:34:00 PM,"(37.791105, -122.248435)"
7BEU941,03/31/2014 12:34:00 PM,"(37.79108, -122.24842)"
6YBU445,03/31/2014 12:34:00 PM,"(37.79108, -122.24842)"
6ZVR998,03/31/2014 12:34:00 PM,"(37.79108, -122.24842)"
8E82483,03/31/2014 12:34:00 PM,"(37.79108, -122.24842)"
5GSV898,03/31/2014 12:34:00 PM,"(37.79108, -122.24842)"
3XCU760,03/31/2014 12:33:00 PM,"(37.791081, -122.248421)"
3WLR626,03/31/2014 12:33:00 PM,"(37.791081, -122.248421)"
3WVL972,03/31/2014 12:33:00 PM,"(37.791081, -122.248421)"
5MXA555,03/31/2014 12:33:00 PM,"(37.791081, -122.24842)"
6SBC355,03/31/2014 12:33:00 PM,"(37.791083, -122.24842)"
6YYE827,03/31/2014 12:33:00 PM,"(37.791083, -122.24842)"
5T24712,03/31/2014 12:33:00 PM,"(37.791085, -122.248421)"
5ZAH108,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
6XPS073,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
4WEG029,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
6XUG665,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
5JXM267,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
7DDD698,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
6JTE782,03/31/2014 12:32:00 PM,"(37.791086, -122.248421)"
222GHM,03/31/2014 12:31:00 PM,"(37.791086, -122.248423)"
